chloramine,chromium,bacteria,viruses,perchlorate,silver
0.35,0.83,0.2,0.0,37.75,0.34
5.28,0.68,0.65,0.65,32.26,0.27
4.24,0.53,0.05,0.003,50.28,0.44
7.23,0.03,0.71,0.71,9.12,0.45
2.67,0.69,0.13,0.001,16.9,0.06
0.8,0.43,0.67,0.67,27.17,0.19
1.28,0.62,0.13,0.007,45.34,0.24
6.22,0.1,0.16,0.005,53.35,0.08
3.14,0.77,0.35,0.002,23.43,0.25
6.4,0.49,0.83,0.83,30.42,0.31
5.75,0.15,0.04,0.008,55.4,0.33
0.1,0.76,0.52,0.52,21.52,0.48
0.05,0.42,0.91,0.91,22.12,0.06
0.7,0.51,0.7,0.7,26.8,0.38
5.99,0.54,0.2,0.009,17.54,0.05
1.94,0.77,0.23,0.001,11.16,0.47
5.29,0.47,0.89,0.89,0.18,0.12
7.78,0.88,0.85,0.85,19.4,0.4
1.21,0.68,0.75,0.75,56.7,0.41
0.01,0.41,0.99,0.99,24.29,0.1
4.57,0.2,0.92,0.92,21.79,0.13
3.47,0.65,0.58,0.58,14.6,0.01
3.74,0.12,0.8,0.8,34.64,0.16
7.24,0.61,0.56,0.56,36.23,0.18
4.07,0.13,0.96,0.96,56.32,0.5
7.22,0.73,0.25,0.007,39.4,0.47
2.55,0.25,0.16,0.002,44.76,0.26
2.87,0.73,0.44,0.002,55.27,0.17
6.63,0.62,0.69,0.69,24.91,0.2
2.78,0.72,0.08,0.006,36.57,0.19
5.87,0.78,0.13,0.008,24.61,0.11
2.86,0.52,0.77,0.77,20.32,0.48
4.0,0.17,0.38,0.005,14.16,0.05
4.25,0.74,0.12,0.006,58.15,0.44
7.75,0.68,0.8,0.8,43.09,0.3
4.55,0.32,0.3,0.002,36.52,0.16
4.94,0.76,0.75,0.75,24.84,0.37
0.64,0.61,0.44,0.006,0.73,0.35
2.86,0.87,0.13,0.004,46.3,0.04
4.3,0.26,0.26,0.003,51.39,0.12
2.24,0.9,0.63,0.63,42.64,0.44
2.4,0.36,0.86,0.86,43.51,0.04
2.9,0.84,0.32,0.003,23.6,0.46
3.58,0.68,0.49,0.001,23.68,0.2
2.99,0.11,0.13,0.008,39.31,0.01
5.71,0.88,0.27,0.002,17.24,0.0
1.26,0.85,0.08,0.007,44.66,0.35
5.38,0.72,0.38,0.002,43.79,0.25
0.22,0.09,0.27,0.004,21.79,0.43
6.11,0.35,0.67,0.67,16.99,0.42
0.68,0.47,0.05,0.001,28.03,0.03
7.7,0.82,0.77,0.77,11.0,0.27
5.47,0.04,0.18,0.007,38.49,0.28
7.97,0.32,0.06,0.008,5.2,0.12
6.19,0.49,0.58,0.58,10.21,0.24
4.08,0.81,0.79,0.79,38.51,0.45
2.49,0.51,0.84,0.84,55.98,0.02
0.9,0.83,0.23,0.007,13.9,0.21
4.5,0.04,0.42,0.0,30.41,0.35
0.88,0.64,0.77,0.77,31.6,0.24
1.13,0.53,0.98,0.98,2.75,0.18
3.85,0.23,0.05,0.008,14.98,0.48
6.16,0.47,0.23,0.008,40.47,0.17
7.06,0.45,0.24,0.002,23.25,0.33
3.43,0.02,0.74,0.74,55.67,0.42
4.4,0.89,0.76,0.76,29.55,0.26
4.89,0.36,0.06,0.004,34.47,0.02
6.57,0.89,0.51,0.51,29.48,0.43
2.15,0.71,0.65,0.65,18.61,0.31
2.38,0.26,0.72,0.72,33.95,0.37
4.77,0.03,0.27,0.006,3.77,0.21
7.81,0.41,0.52,0.52,48.78,0.12
2.79,0.6,0.05,0.004,55.21,0.12
1.78,0.03,0.07,0.008,49.53,0.11
1.97,0.74,0.79,0.79,25.97,0.17
3.4,0.29,0.53,0.53,8.33,0.32
4.41,0.71,0.45,0.004,46.2,0.42
5.27,0.01,0.39,0.007,27.48,0.41
3.35,0.77,0.25,0.008,15.08,0.09
2.69,0.31,0.83,0.83,36.31,0.34
6.06,0.68,0.1,0.008,54.32,0.19
7.56,0.22,0.53,0.53,3.26,0.08
3.55,0.65,0.27,0.007,52.7,0.06
0.13,0.18,0.18,0.004,38.31,0.32
7.52,0.89,0.31,0.002,6.24,0.1
6.57,0.41,0.96,0.96,48.08,0.21
3.57,0.85,0.11,0.006,21.89,0.12
1.28,0.52,0.64,0.64,54.15,0.35
6.02,0.33,0.76,0.76,21.87,0.26
1.12,0.38,0.57,0.57,5.73,0.03
6.1,0.23,0.79,0.79,59.03,0.08
0.19,0.51,0.82,0.82,8.65,0.15
